Nouns,Verbs,Adjectives,Adverbs,age,story,,,,,,,,,
baby,go,good,then,20,gdc,,,,,,,,,
dog,get,little,back,20,gdc,,,,,,,,,
Carl,put,back,there,20,gdc,,,,,,,,,
mother,look,hungry,just,20,gdc,,,,,,,,,
mom,take,big,all,20,gdc,,,,,,,,,
crib,come,messy,where,20,gdc,,,,,,,,,
bed,have,open,upstairs,20,gdc,,,,,,,,,
back,play,sure,up,20,gdc,,,,,,,,,
room,make,own,out,20,gdc,,,,,,,,,
laundry,run,left,down,20,gdc,,,,,,,,,
mess,see,dirty,away,20,gdc,,,,,,,,,
chute,decide,happy,next,20,gdc,,,,,,,,,
milk,leave,nice,very,20,gdc,,,,,,,,,
bread,say,huge,in,20,gdc,,,,,,,,,
home,clean,next,now,20,gdc,,,,,,,,,
window,eat,right,again,20,gdc,,,,,,,,,
time,let,able,also,20,gdc,,,,,,,,,
child,turn,hot,around,20,gdc,,,,,,,,,
butter,dry,dangerous,so,20,gdc,,,,,,,,,
cookie,do,first,shortly,20,gdc,,,,,,,,,
bath,know,great,on,20,gdc,,,,,,,,,
kitchen,watch,long,more,20,gdc,,,,,,,,,
grape,find,ready,how,20,gdc,,,,,,,,,
fish tank,ride,young,once,20,gdc,,,,,,,,,
soap,dance,early,as,20,gdc,,,,,,,,,
baby,go,little,then,30,gdc,,,,,,,,,
Carl,get,good,back,30,gdc,,,,,,,,,
dog,put,clean,all,30,gdc,,,,,,,,,
crib,take,back,there,30,gdc,,,,,,,,,
mom,make,hungry,up,30,gdc,,,,,,,,,
bed,run,big,upstairs,30,gdc,,,,,,,,,
back,have,open,now,30,gdc,,,,,,,,,
laundry,come,great,away,30,gdc,,,,,,,,,
room,decide,sure,where,30,gdc,,,,,,,,,
mother,play,nice,out,30,gdc,,,,,,,,,
milk,see,happy,just,30,gdc,,,,,,,,,
time,watch,ready,so,30,gdc,,,,,,,,,
mess,clean,messy,next,30,gdc,,,,,,,,,
window,leave,dirty,on,30,gdc,,,,,,,,,
bread,dance,tired,down,30,gdc,,,,,,,,,
cookie,jump,left,off,30,gdc,,,,,,,,,
chute,turn,next,very,30,gdc,,,,,,,,,
home,ride,smart,in,30,gdc,,,,,,,,,
butter,let,first,shortly,30,gdc,,,,,,,,,
kitchen,dry,right,sure,30,gdc,,,,,,,,,
house,say,whole,again,30,gdc,,,,,,,,,
chocolate,know,awesome,over,30,gdc,,,,,,,,,
grape,eat,huge,really,30,gdc,,,,,,,,,
bath,wash,old,around,30,gdc,,,,,,,,,
floor,find,pretty,soon,30,gdc,,,,,,,,,
baby,go,little,then,40,gdc,,,,,,,,,
Carl,get,good,back,40,gdc,,,,,,,,,
dog,put,hungry,there,40,gdc,,,,,,,,,
crib,look,back,up,40,gdc,,,,,,,,,
back,have,big,all,40,gdc,,,,,,,,,
bed,take,clean,just,40,gdc,,,,,,,,,
mom,come,dry,now,40,gdc,,,,,,,,,
laundry,play,messy,upstairs,40,gdc,,,,,,,,,
mother,run,great,out,40,gdc,,,,,,,,,
milk,make,sure,very,40,gdc,,,,,,,,,
room,see,dirty,where,40,gdc,,,,,,,,,
chute,let,happy,away,40,gdc,,,,,,,,,
window,know,nice,down,40,gdc,,,,,,,,,
mess,say,fun,in,40,gdc,,,,,,,,,
bread,clean,old,on,40,gdc,,,,,,,,,
chocolate,watch,next,around,40,gdc,,,,,,,,,
time,ride,ready,here,40,gdc,,,,,,,,,
cookie,decide,right,over,40,gdc,,,,,,,,,
floor,leave,first,off,40,gdc,,,,,,,,,
kitchen,do,safe,next,40,gdc,,,,,,,,,
soap,open,whole,again,40,gdc,,,,,,,,,
butter,climb,wonderful,right,40,gdc,,,,,,,,,
home,find,bad,home,40,gdc,,,,,,,,,
grape,lay,full,shortly,40,gdc,,,,,,,,,
fish tank,jump,gentle,together,40,gdc,,,,,,,,,
baby,go,little,then,50,gdc,,,,,,,,,
Carl,get,good,back,50,gdc,,,,,,,,,
dog,look,big,there,50,gdc,,,,,,,,,
bed,put,hungry,up,50,gdc,,,,,,,,,
mother,take,sure,all,50,gdc,,,,,,,,,
crib,have,messy,just,50,gdc,,,,,,,,,
back,clean,open,now,50,gdc,,,,,,,,,
mom,come,next,upstairs,50,gdc,,,,,,,,,
laundry,play,fun,out,50,gdc,,,,,,,,,
milk,see,dirty,where,50,gdc,,,,,,,,,
room,make,right,on,50,gdc,,,,,,,,,
window,ride,left,here,50,gdc,,,,,,,,,
mess,say,ready,in,50,gdc,,,,,,,,,
chute,decide,smart,so,50,gdc,,,,,,,,,
cookie,run,own,away,50,gdc,,,,,,,,,
time,turn,great,down,50,gdc,,,,,,,,,
bread,dry,happy,next,50,gdc,,,,,,,,,
powder,let,pretty,shortly,50,gdc,,,,,,,,,
kitchen,leave,nice,very,50,gdc,,,,,,,,,
floor,watch,whole,again,50,gdc,,,,,,,,,
butter,know,wonderful,how,50,gdc,,,,,,,,,
chocolate,eat,close,off,50,gdc,,,,,,,,,
swim,excited,yet,,50,gdc,,,,,,,,,
grape,give,fine,over,50,gdc,,,,,,,,,
fish,climb,first,sure,50,gdc,,,,,,,,,
baby,go,little,then,60,gdc,,,,,,,,,
dog,get,good,back,60,gdc,,,,,,,,,
Carl,look,clean,there,60,gdc,,,,,,,,,
bed,put,big,all,60,gdc,,,,,,,,,
back,take,dry,up,60,gdc,,,,,,,,,
crib,have,hungry,just,60,gdc,,,,,,,,,
mother,come,open,now,60,gdc,,,,,,,,,
mom,run,happy,out,60,gdc,,,,,,,,,
laundry,play,great,upstairs,60,gdc,,,,,,,,,
chute,make,next,where,60,gdc,,,,,,,,,
milk,decide,dirty,very,60,gdc,,,,,,,,,
mess,say,left,in,60,gdc,,,,,,,,,
powder,see,nice,so,60,gdc,,,,,,,,,
window,ride,old,down,60,gdc,,,,,,,,,
time,do,sure,probably,60,gdc,,,,,,,,,
bread,find,first,over,60,gdc,,,,,,,,,
floor,watch,messy,shortly,60,gdc,,,,,,,,,
butter,know,pretty,off,60,gdc,,,,,,,,,
cookie,climb,smart,again,60,gdc,,,,,,,,,
chocolate,clean,soft,away,60,gdc,,,,,,,,,
aquarium,let,tired,on,60,gdc,,,,,,,,,
home,dance,able,around,60,gdc,,,,,,,,,
room,sit,close,also,60,gdc,,,,,,,,,
soap,swim,full,here,60,gdc,,,,,,,,,
thing,eat,whole,soon,60,gdc,,,,,,,,,
baby,go,good,then,70,gdc,,,,,,,,,
dog,get,little,back,70,gdc,,,,,,,,,
Carl,look,big,there,70,gdc,,,,,,,,,
back,put,next,all,70,gdc,,,,,,,,,
crib,have,dirty,just,70,gdc,,,,,,,,,
bed,take,open,now,70,gdc,,,,,,,,,
mother,come,nice,out,70,gdc,,,,,,,,,
laundry,see,hungry,up,70,gdc,,,,,,,,,
window,clean,first,again,70,gdc,,,,,,,,,
milk,say,old,upstairs,70,gdc,,,,,,,,,
powder,do,sure,where,70,gdc,,,,,,,,,
floor,know,wonderful,over,70,gdc,,,,,,,,,
chute,turn,happy,very,70,gdc,,,,,,,,,
bread,find,great,off,70,gdc,,,,,,,,,
boy,sit,same,here,70,gdc,,,,,,,,,
mess,make,messy,on,70,gdc,,,,,,,,,
mom,climb,right,in,70,gdc,,,,,,,,,
kitchen,watch,pretty,shortly,70,gdc,,,,,,,,,
cookie,play,cute,so,70,gdc,,,,,,,,,
butter,decide,tired,down,70,gdc,,,,,,,,,
chocolate,dance,whole,next,70,gdc,,,,,,,,,
thing,let,close,away,70,gdc,,,,,,,,,
time,dry,smart,yet,70,gdc,,,,,,,,,
aquarium,eat,innocent,how,70,gdc,,,,,,,,,
puff,open,own,apparently,70,gdc,,,,,,,,,
baby,go,little,then,80,gdc,,,,,,,,,
dog,get,good,back,80,gdc,,,,,,,,,
Carl,look,big,there,80,gdc,,,,,,,,,
back,put,next,all,80,gdc,,,,,,,,,
bed,take,happy,up,80,gdc,,,,,,,,,
boy,have,dirty,just,80,gdc,,,,,,,,,
mother,come,nice,now,80,gdc,,,,,,,,,
crib,play,great,out,80,gdc,,,,,,,,,
window,see,open,where,80,gdc,,,,,,,,,
laundry,do,old,on,80,gdc,,,,,,,,,
bread,say,messy,down,80,gdc,,,,,,,,,
milk,clean,smart,again,80,gdc,,,,,,,,,
powder,know,sure,here,80,gdc,,,,,,,,,
floor,watch,right,very,80,gdc,,,,,,,,,
butter,find,ready,upstairs,80,gdc,,,,,,,,,
chute,straighten,wonderful,in,80,gdc,,,,,,,,,
chocolate,make,left,so,80,gdc,,,,,,,,,
puff,ride,small,apparent,80,gdc,,,,,,,,,
child,wash,wet,off,80,gdc,,,,,,,,,
cookie,give,able,over,80,gdc,,,,,,,,,
fish,open,whole,how,80,gdc,,,,,,,,,
head,let,close,shortly,80,gdc,,,,,,,,,
time,climb,first,around,80,gdc,,,,,,,,,
room,guess,pretty,really,80,gdc,,,,,,,,,
thing,run,different,away,80,gdc,,,,,,,,,
mouse,go,little,all,20,picnic,,,,,,,,,
family,get,stuffed,back,20,picnic,,,,,,,,,
picnic,have,happy,there,20,picnic,,,,,,,,,
truck,look,missing,then,20,picnic,,,,,,,,,
baby,start,lost,just,20,picnic,,,,,,,,,
road,eat,red,meanwhile,20,picnic,,,,,,,,,
back,find,sad,out,20,picnic,,,,,,,,,
time,play,pink,where,20,picnic,,,,,,,,,
child,see,good,very,20,picnic,,,,,,,,,
animal,decide,big,still,20,picnic,,,,,,,,,
kid,come,hungry,so,20,picnic,,,,,,,,,
berry,call,left,up,20,picnic,,,,,,,,,
flower,know,bumpy,around,20,picnic,,,,,,,,,
girl,notice,ready,finally,20,picnic,,,,,,,,,
mom,pick,excited,together,20,picnic,,,,,,,,,
rest,do,small,alone,20,picnic,,,,,,,,,
grass,begin,scared,now,20,picnic,,,,,,,,,
day,drive,old,really,20,picnic,,,,,,,,,
rock,cry,same,off,20,picnic,,,,,,,,,
raspberry,run,beautiful,maybe,20,picnic,,,,,,,,,
dad,take,own,again,20,picnic,,,,,,,,,
food,hear,whole,behind,20,picnic,,,,,,,,,
baseball,hug,glad,even,20,picnic,,,,,,,,,
way,fall,long,here,20,picnic,,,,,,,,,
lake,sit,nice,away,20,picnic,,,,,,,,,
mouse,go,little,back,30,picnic,,,,,,,,,
picnic,get,stuffed,all,30,picnic,,,,,,,,,
family,see,missing,there,30,picnic,,,,,,,,,
truck,have,happy,then,30,picnic,,,,,,,,,
road,find,pink,out,30,picnic,,,,,,,,,
baby,look,sad,where,30,picnic,,,,,,,,,
back,eat,good,up,30,picnic,,,,,,,,,
child,start,big,meanwhile,30,picnic,,,,,,,,,
time,realize,lost,just,30,picnic,,,,,,,,,
girl,decide,hungry,so,30,picnic,,,,,,,,,
kid,begin,ready,still,30,picnic,,,,,,,,,
berry,come,bumpy,around,30,picnic,,,,,,,,,
flower,run,whole,very,30,picnic,,,,,,,,,
animal,hear,great,now,30,picnic,,,,,,,,,
doll,know,left,together,30,picnic,,,,,,,,,
raspberry,fall,excited,here,30,picnic,,,,,,,,,
grass,take,scared,finally,30,picnic,,,,,,,,,
food,do,old,behind,30,picnic,,,,,,,,,
baseball,pick,own,alone,30,picnic,,,,,,,,,
rock,continue,young,down,30,picnic,,,,,,,,,
water,sit,small,again,30,picnic,,,,,,,,,
toy,give,beautiful,once,30,picnic,,,,,,,,,
lunch,hit,high,even,30,picnic,,,,,,,,,
mom,forget,nearby,really,30,picnic,,,,,,,,,
bush,hug,nice,on,30,picnic,,,,,,,,,
mouse,go,little,all,40,picnic,,,,,,,,,
picnic,look,stuffed,back,40,picnic,,,,,,,,,
truck,get,missing,there,40,picnic,,,,,,,,,
family,have,red,then,40,picnic,,,,,,,,,
road,play,pink,just,40,picnic,,,,,,,,,
baby,eat,happy,where,40,picnic,,,,,,,,,
back,find,lost,out,40,picnic,,,,,,,,,
time,start,good,very,40,picnic,,,,,,,,,
berry,see,big,up,40,picnic,,,,,,,,,
flower,realize,sad,still,40,picnic,,,,,,,,,
rat,come,hungry,so,40,picnic,,,,,,,,,
child,sit,small,around,40,picnic,,,,,,,,,
animal,know,left,here,40,picnic,,,,,,,,,
rock,run,ready,now,40,picnic,,,,,,,,,
food,call,old,together,40,picnic,,,,,,,,,
blanket,cry,beautiful,again,40,picnic,,,,,,,,,
bush,do,scared,finally,40,picnic,,,,,,,,,
doll,take,nice,alone,40,picnic,,,,,,,,,
kid,drive,whole,behind,40,picnic,,,,,,,,,
day,fall,young,off,40,picnic,,,,,,,,,
lake,decide,great,suddenly,40,picnic,,,,,,,,,
grass,pick,excite,away,40,picnic,,,,,,,,,
toy,lay,bumpy,down,40,picnic,,,,,,,,,
lunch,begin,poor,on,40,picnic,,,,,,,,,
area,notice,full,probably,40,picnic,,,,,,,,,
mouse,go,little,all,50,picnic,,,,,,,,,
picnic,look,stuffed,back,50,picnic,,,,,,,,,
truck,get,happy,there,50,picnic,,,,,,,,,
family,have,missing,then,50,picnic,,,,,,,,,
road,play,big,where,50,picnic,,,,,,,,,
baby,eat,pink,out,50,picnic,,,,,,,,,
back,see,good,meanwhile,50,picnic,,,,,,,,,
kid,find,sad,just,50,picnic,,,,,,,,,
child,start,lost,so,50,picnic,,,,,,,,,
grandpa,come,hungry,very,50,picnic,,,,,,,,,
mom,sit,ready,up,50,picnic,,,,,,,,,
flower,call,whole,around,50,picnic,,,,,,,,,
raspberry,do,full,still,50,picnic,,,,,,,,,
time,decide,bumpy,now,50,picnic,,,,,,,,,
animal,pick,left,here,50,picnic,,,,,,,,,
berry,realize,beautiful,together,50,picnic,,,,,,,,,
toy,know,wonderful,finally,50,picnic,,,,,,,,,
dad,take,poor,maybe,50,picnic,,,,,,,,,
doll,run,old,behind,50,picnic,,,,,,,,,
blanket,cry,great,down,50,picnic,,,,,,,,,
grass,drive,small,really,50,picnic,,,,,,,,,
food,think,nice,even,50,picnic,,,,,,,,,
grandma,notice,tall,again,50,picnic,,,,,,,,,
day,hear,lonely,off,50,picnic,,,,,,,,,
way,continue,scared,alone,50,picnic,,,,,,,,,
mouse,go,little,all,60,picnic,,,,,,,,,
picnic,look,happy,there,60,picnic,,,,,,,,,
truck,have,good,back,60,picnic,,,,,,,,,
family,get,lost,just,60,picnic,,,,,,,,,
road,play,pink,so,60,picnic,,,,,,,,,
baby,find,big,then,60,picnic,,,,,,,,,
time,eat,missing,out,60,picnic,,,,,,,,,
flower,start,stuffed,very,60,picnic,,,,,,,,,
back,see,red,where,60,picnic,,,,,,,,,
mom,sit,sad,up,60,picnic,,,,,,,,,
doll,come,hungry,around,60,picnic,,,,,,,,,
kid,do,whole,still,60,picnic,,,,,,,,,
berry,take,great,meanwhile,60,picnic,,,,,,,,,
dad,know,ready,maybe,60,picnic,,,,,,,,,
toy,decide,poor,now,60,picnic,,,,,,,,,
grandpa,cry,beautiful,here,60,picnic,,,,,,,,,
child,pick,nice,together,60,picnic,,,,,,,,,
raspberry,run,old,finally,60,picnic,,,,,,,,,
food,fall,young,even,60,picnic,,,,,,,,,
brother,realize,bumpy,down,60,picnic,,,,,,,,,
water,drive,left,really,60,picnic,,,,,,,,,
baseball,lay,full,off,60,picnic,,,,,,,,,
bush,call,tall,again,60,picnic,,,,,,,,,
blanket,swim,wonderful,on,60,picnic,,,,,,,,,
area,jump,aware,probably,60,picnic,,,,,,,,,
mouse,go,little,all,70,picnic,,,,,,,,,
picnic,look,good,there,70,picnic,,,,,,,,,
truck,have,happy,back,70,picnic,,,,,,,,,
road,get,big,out,70,picnic,,,,,,,,,
baby,play,lost,then,70,picnic,,,,,,,,,
family,eat,missing,now,70,picnic,,,,,,,,,
time,seem,pink,where,70,picnic,,,,,,,,,
flower,find,red,up,70,picnic,,,,,,,,,
doll,sit,stuffed,so,70,picnic,,,,,,,,,
back,come,nice,still,70,picnic,,,,,,,,,
toy,start,sad,very,70,picnic,,,,,,,,,
berry,take,ready,just,70,picnic,,,,,,,,,
child,pick,old,around,70,picnic,,,,,,,,,
kid,know,poor,here,70,picnic,,,,,,,,,
basket,do,great,meanwhile,70,picnic,,,,,,,,,
water,cry,hungry,again,70,picnic,,,,,,,,,
grandpa,decide,bumpy,maybe,70,picnic,,,,,,,,,
bush,lay,whole,suddenly,70,picnic,,,,,,,,,
tree,run,left,off,70,picnic,,,,,,,,,
thing,call,full,down,70,picnic,,,,,,,,,
rock,realize,young,meantime,70,picnic,,,,,,,,,
rest,fall,beautiful,finally,70,picnic,,,,,,,,,
place,think,small,even,70,picnic,,,,,,,,,
middle,swim,wonderful,together,70,picnic,,,,,,,,,
girl,hear,glad,on,70,picnic,,,,,,,,,
mouse,go,little,there,80,picnic,,,,,,,,,
picnic,have,lost,all,80,picnic,,,,,,,,,
truck,look,big,then,80,picnic,,,,,,,,,
road,get,good,back,80,picnic,,,,,,,,,
baby,play,happy,out,80,picnic,,,,,,,,,
family,eat,ready,just,80,picnic,,,,,,,,,
flower,come,red,where,80,picnic,,,,,,,,,
toy,see,missing,still,80,picnic,,,,,,,,,
time,find,pink,so,80,picnic,,,,,,,,,
back,sit,poor,up,80,picnic,,,,,,,,,
mother,know,sad,here,80,picnic,,,,,,,,,
food,take,old,now,80,picnic,,,,,,,,,
basket,start,bumpy,around,80,picnic,,,,,,,,,
picture,pick,great,very,80,picnic,,,,,,,,,
thing,cry,nice,on,80,picnic,,,,,,,,,
baseball,decide,wonderful,meanwhile,80,picnic,,,,,,,,,
water,think,beautiful,down,80,picnic,,,,,,,,,
berry,do,whole,even,80,picnic,,,,,,,,,
rock,guess,hungry,maybe,80,picnic,,,,,,,,,
place,hug,stuffed,off,80,picnic,,,,,,,,,
watermelon,lay,glad,again,80,picnic,,,,,,,,,
doll,fall,pretty,apparently,80,picnic,,,,,,,,,
home,jump,next,along,80,picnic,,,,,,,,,
banjo,swim,full,away,80,picnic,,,,,,,,,
child,put,small,ever,80,picnic,,,,,,,,,